JobId|Link|Job Title|Post Date|Business|Province/State|City|Salary
41104611|https://www.jobbank.gc.ca/jobsearch/jobposting/41104611?source=searchresults|food service supervisor|May-23-2024|902776 N.W.T. Limited|Nunavut|Iqaluit|Salary: $19.00 hourly
41104609|https://www.jobbank.gc.ca/jobsearch/jobposting/41104609?source=searchresults|sous-chef|May-23-2024|902776 N.W.T. Limited|Nunavut|Iqaluit|Salary: $20.00 hourly
41104607|https://www.jobbank.gc.ca/jobsearch/jobposting/41104607?source=searchresults|painter|May-23-2024|902776 N.W.T. Limited|Nunavut|Iqaluit|Salary: $24.96 hourly
41104608|https://www.jobbank.gc.ca/jobsearch/jobposting/41104608?source=searchresults|housekeeping room attendant supervisor|May-23-2024|902776 N.W.T. Limited|Nunavut|Iqaluit|Salary: $24.96 hourly
40964284|https://www.jobbank.gc.ca/jobsearch/jobposting/40964284?source=searchresults|support worker - social services|May-05-2024|Wenson Support Services|Nunavut|Iqaluit|Salary: $41.17 hourly
40952078|https://www.jobbank.gc.ca/jobsearch/jobposting/40952078?source=searchresults|administrative assistant|May-03-2024|NUNAVUT AIRPORT SERVICES LTD.|Nunavut|Iqaluit|Salary: $33.00 to $36.00 hourly (to be negotiated)
40919573|https://www.jobbank.gc.ca/jobsearch/jobposting/40919573?source=searchresults|carpenter helper|April-30-2024|NUNAVUT EXCAVATING|Nunavut|Iqaluit|Salary: $28.00 hourly
40821987|https://www.jobbank.gc.ca/jobsearch/jobposting/40821987?source=searchresults|retail store supervisor|April-19-2024|Malikkaat Ltd.|Nunavut|Iqaluit|Salary: $24.46 hourly
40759735|https://www.jobbank.gc.ca/jobsearch/jobposting/40759735?source=searchresults|restaurant supervisor|April-12-2024|5514 Nunavut inc.|Nunavut|Iqaluit|Salary: $20.50 hourly
40685950|https://www.jobbank.gc.ca/jobsearch/jobposting/40685950?source=searchresults|food counter attendant|April-03-2024|5902 Nunavut Ltd|Nunavut|Iqaluit|Salary: $25.00 hourly
40931063|https://www.jobbank.gc.ca/jobsearch/jobposting/40931063?source=searchresults|licensed practical nurse (L.P.N.)|April-01-2024|15333121 Canada Corporation|Nunavut|Iqaluit|Salary: $50.00 to $60.00 hourly (to be negotiated)
40650765|https://www.jobbank.gc.ca/jobsearch/jobposting/40650765?source=searchresults|store manager - retail|March-28-2024|Qikiqtani Retail Services Ltd.|Nunavut|Iqaluit|Salary: $45.00 hourly
40619855|https://www.jobbank.gc.ca/jobsearch/jobposting/40619855?source=searchresults|support worker - social services|March-25-2024|Wenson Support Services|Nunavut|Iqaluit|Salary: $35.00 hourly
40571530|https://www.jobbank.gc.ca/jobsearch/jobposting/40571530?source=searchresults|line cook|March-20-2024|Asian Kitchen NU Inc.|Nunavut|Iqaluit|Salary: $22.00 to $25.00 hourly (to be negotiated)
40557161|https://www.jobbank.gc.ca/jobsearch/jobposting/40557161?source=searchresults|cook|March-19-2024|Big Racks Pita Shack Inc.|Nunavut|Iqaluit|Salary: $24.50 hourly
41368654|https://www.jobbank.gc.ca/jobsearch/jobposting/41368654?source=searchresults|specialist, HVAC (heating, ventilation and air conditioning) systems|June-27-2024|Nasittuq Corporation|Nunavut|Grise Fiord|Salary not available
